Case Number,Date Reported,Crimes,Location,Synopsis
21-0036,1/18/2021,Petty Theft Bicycles,TROPICANA VILLAS,RP reporting their bike stolen
21-0041,1/19/2021,Petty Theft Bicycles,CASTAIC VILLAGE B843 SAN CLEM,RP reporting their bicycle stolen.
21-0043,1/19/2021,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting his bike stolen.
21-0044,1/19/2021,Petty Theft Bicycles,TROPICANA VILLAS,RP reporting his bike stolen.
21-0048,1/20/2021,Petty Theft Bicycles,BIRCH WALK,RP reporting that his bike was stolen last night.
21-0052,1/21/2021,Petty Theft Bicycles,TENAYA SOUTH TOWER B1862 SAN JOAQUIN,RP reporting the theft of his unregistered bike.
21-0054,1/22/2021,Petty Theft Bicycles,SAN JOAQUIN,RP reporting that his bicycle was possibly stolen.
21-0055,1/22/2021,Petty Theft Bicycles,TENAYA SOUTH TOWER B1862 SAN JOAQUIN,RP reporting that his bicycle was stolen.
21-0058,1/22/2021,All Other Petty Thefts,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP reporting the theft of her handlebars and tires.
21-0061,1/23/2021,Petty Theft Bicycles,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP advised that his bicycle was stolen.
21-0062,1/24/2021,Petty Theft Bicycles,BERRYESSA VILLAGE B1122 SMV,RP reporting that her bicycle was stolen.
21-0065,1/25/2021,Grand Theft - Bicycle,MALIBU COURT (SAN JOAQUIN),RP reporting their bike stolen
21-0068,1/26/2021,Grand Theft - Bicycle,PHYSICAL SCIENCES SOUTH (PSBS) B672,RP reporting her bike stolen yesterday.
21-0069,1/26/2021,Petty Theft Bicycles,BERRYESSA VILLAGE B1122 SMV,RP reporting their bike stolen.
21-0072,1/27/2021,Petty Theft Bicycles,ELSINORE COURT (SAN JOAQUIN),RP reporting their bike stolen
21-0074,1/28/2021,Petty Theft Bicycles,TENAYA NORTH TOWER B1864 SAN JOAQUIN,RP reporting their bike stolen.
21-0077,1/28/2021,Petty Theft Bicycles,HAVASU VILLAGE B1125 SMV,RP reporting the theft of his unregistered bike.
21-0078,1/29/2021,Petty Theft Bicycles,ENCINO VILLAGE B845 SAN CLEM,RP reporting his bicycle stolen.
21-0079,1/29/2021,Petty Theft Bicycles,NACIMIENTO VILLAGE B1124 SMV,RP reporting her bike stolen.
21-0081,1/30/2021,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting his bike stolen.
21-0085,2/3/2021,"All Other,Grand Theft - Bicycle",TROPICANA VILLAS,RP reporting her unregistered bicycle stolen
21-0089,1/18/2021,Petty Theft Bicycles,SAN JOAQUIN,Anonymous RP advised that their bicycle was stolen.
21-0093,2/4/2021,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting his bike stolen.
21-0104,2/8/2021,Grand Theft - Bicycle,NACIMIENTO VILLAGE B1124 SMV,RP reporting their bike stolen
21-0105,2/8/2021,Petty Theft Bicycles,LAUREL WALK,RP reporting their bike stolen
21-0106,2/8/2021,Petty Theft Bicycles,HENLEY HALL B226,RP reporting that her bicycle was taken sometime this morning.
21-0107,2/8/2021,Petty Theft Bicycles,SOCIAL SCIENCES & MEDIA STUDIES (SSMS) B276,RP's bicycle was stolen today.
21-0117,2/11/2021,Petty Theft Bicycles,SAN JOAQUIN,Online report for a bicycle was stolen a few days ago.
21-0125,2/14/2021,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting his bike stolen.
21-0128,2/15/2021,All Other Petty Thefts,SIERRA MADRE VILLAGE (STUDENTS),Theft of a bike tire
21-0136,2/16/2021,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting their bike stolen
21-0137,2/16/2021,Petty Theft Bicycles,RAMONA COURT SOUTHWEST  REC B1878 SAN JOAQUIN,RP reporting the theft of a bike.
21-0139,2/17/2021,Petty Theft Bicycles,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP reporting his bicycle stolen today
21-0144,2/18/2021,Petty Theft Bicycles,KROEBER WALK,RP reporting the theft of his bicycle.
21-0146,2/19/2021,All Other Petty Thefts,SIERRA MADRE VILLAGE (STUDENTS),RP reporting the seat of his bike stolen.
21-0150,2/20/2021,Petty Theft Bicycles,TROPICANA GARDENS,RP reporting his bike stolen.
21-0152,2/21/2021,Petty Theft Bicycles,WEST CAMPUS FAMILY HOUSING (OLD MARRIED),RP reporting his bike stolen
21-0156,2/23/2021,Petty Theft Bicycles,CALAVARAS COURT EAST B1873 SAN JOAQUIN,Late report - RP reporting her unregistered bike stolen last week
21-0157,2/22/2021,Grand Theft - Bicycle,TROPICANA GARDENS,RP reporting their bike stolen
21-0158,2/23/2021,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting their bike stolen
21-0159,2/23/2021,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting his bike stolen
21-0160,2/23/2021,Petty Theft Bicycles,MALIBU COURT EAST B1876 SAN JOAQUIN,RP reporting their bike stolen
21-0161,2/23/2021,Petty Theft Bicycles,DE ANZA RESOURCE CENTER B875 MANZANITA,RP reporting their bike stolen
21-0163,2/23/2021,Petty Theft Bicycles,ENGINEERING 2 B503,RP advised that his bike was stolen this evening.
21-0174,2/28/2021,Petty Theft Bicycles,7-ELEVEN IV,RP advised that a CSO bicycle was just stolen.
21-0182,3/2/2021,Petty Theft Bicycles,WEST CAMPUS FACULTY HOUSING,Stolen unregistered bicycle from 707 Bolton Walk
21-0187,2/17/2021,All Other Petty Thefts,BROIDA HALL B572,RP reporting her bicycle seat stolen
21-0188,2/22/2021,Petty Theft Bicycles,SIERRA MADRE VILLAGE (STUDENTS),RP reporting their bike stolen
21-0189,3/4/2021,Grand Theft,SEQUOIA WALK,RP reporting a stolen bike.
21-0190,3/4/2021,Petty Theft Bicycles,SEQUOIA WALK,RP reporting her (minor) son's bike was stolen 3/2 around 0900 hours.
21-0192,3/4/2021,Petty Theft Bicycles,BREN HALL B521,RP reporting the theft of her unregistered bike.
21-0201,3/8/2021,Petty Theft Bicycles,MALIBU COURT EAST B1876 SAN JOAQUIN,RP reporting their bike stolen
21-0208,3/9/2021,Petty Theft Bicycles,TROPICANA DEL NORTE,RP reporting their bike stolen.  Vicitm is texting now with the possible suspect trying to sell it on Craigslist
21-0209,3/9/2021,Petty Theft Bicycles,TENAYA SOUTH TOWER B1862 SAN JOAQUIN,RP reporting their bike stolen
21-0210,3/9/2021,Grand Theft - Bicycle,SANTA YNEZ APARTMENTS,RP reporting their bike stolen
21-0211,3/2/2021,Petty Theft Bicycles,SAN JOAQUIN,RP reporting her bicycle stolen
21-0216,3/10/2021,Petty Theft Bicycles,RAMONA COURT  SOUTH B1882 SAN JOAQUIN,
21-0218,3/14/2021,Petty Theft Bicycles,SAN JOAQUIN,RP reporting his bike stolen.
21-0225,3/16/2021,Petty Theft Bicycles,SAN CLEMENTE,RP reporting their bike stolen
21-0226,3/16/2021,All Other Petty Thefts ,BRADBURY VILLAGE B849 SAN CLEM,Online report of a theft of bike parts
21-0228,3/17/2021,Petty Theft Bicycles,SAN JOAQUIN,RP is reporting that his bicycle was stolen.
21-0252,3/31/2021,Petty Theft Bicycles,CUYAMA HOUSE B891 MANZANITA,"RP reporting her bike stolen, in stages, over the last year."
21-0253,3/31/2021,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting his bike stolen.
21-0270,4/8/2021,Petty Theft Bicycles,SAN JOAQUIN,RP reporting his bicycle stolen.
21-0275,4/12/2021,Petty Theft Bicycles,CYPRESS WALK,RP reporting his bike stolen from the 2nd floor balcony
21-0282,4/13/2021,Grand Theft - Bicycle,HUMANITIES AND SOCIAL SCIENCES (HSSB) B515,RP reporting his unregistered bike stolen within the lst 8 hours
21-0289,4/17/2021,Petty Theft Bicycles,SANTA YNEZ APARTMENTS,RP reporting his bike stolen
21-0291,4/20/2021,Petty Theft Bicycles,BIRCH WALK,RP reporting his unregistered bike stolen in the last week.
21-0303,4/22/2021,Petty Theft Bicycles,PAULEY TRACK,RP reporting the theft of his unregistered bike.
21-0314,4/26/2021,Petty Theft Bicycles,RECREATION BUILDING B516,RP reporting their bike stolen
21-0324,5/3/2021,Petty Theft Bicycles,SEQUOIA WALK,RP reporting his bike stolen
21-0327,5/3/2021,Petty Theft Bicycles,TROPICANA GARDENS,
21-0333,5/5/2021,Petty Theft Bicycles,CYPRESS WALK,Online report for a stolen bike
21-0335,5/5/2021,Petty Theft Bicycles,LIFE SCIENCES B235,RP reporting the theft of a bicycle.
21-0338,5/6/2021,Petty Theft Bicycles,ELLISON HALL B563,SO transferring two simultaneous calls about a bike theft that just occurred next to Campbell Hall. 2 subjects last seen heading toward ROTC on bikes.
21-0364,5/21/2021,All Other Petty Thefts ,KROEBER WALK,RP reporting bicycle tires stolen.
21-0393,6/7/2021,Petty Theft Bicycles,SAN JOAQUIN,RP reporting their bike stolen
21-0405,6/10/2021,Petty Theft Bicycles,LAUREL WALK,RP reporting their bike stolen
21-0409,6/12/2021,Petty Theft Bicycles,BUS LOOP,RP advised of 2 subjects casing the bike racks and possibly taking bikes.  Subjects are associated with a green pick up truck that is loaded up with bicycles.
21-0411,6/12/2021,Petty Theft Bicycles,SAN JOAQUIN,RP advising that his bicycle was stolen.
21-0423,6/18/2021,Petty Theft Bicycles,ELKUS WALK,RP reporting the theft of his unregistered bike.
21-0433,6/22/2021,Petty Theft Bicycles,DONNER VILLAGE B846 SAN CLEM,RP reporting their bike stolen
21-0435,6/23/2021,Petty Theft Bicycles,LIFE SCIENCES B235,RP reporting their bike stolen
21-0439,6/23/2021,Grand Theft - Bicycle,ASSOCIATE STUDENTS RECYCLING CENTER B314,RP reporting a university owned bikes stolen
21-0441,6/23/2021,All Other Petty Thefts ,DEVEREUX CAMPUS,RP reporting a theft
21-0447,6/25/2021,All Other Petty Thefts ,ELLISON HALL B563,"grey mountain bike, rusty with shocks. unk suspect."
21-0472,7/9/2021,All Other Petty Thefts ,LIFE SCIENCES B235,RP advised items were stolen from her bicycle yesterday.
21-0483,7/12/2021,All Other Petty Thefts ,BIOLOGICAL SERVICES II B571,RP reporting their bike stolen
21-0485,7/14/2021,All Other Petty Thefts ,LIFE SCIENCES B235,RP reporting that her bicycle was taken within the last several days.
21-0495,7/17/2021,All Other Petty Thefts ,MARINE SCIENCE RESEARCH BLDG (MSRB) B520,RP reporting his bicycle stolen
21-0496,7/18/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting his unregistered bike stolen sometime today.
21-0518,7/26/2021,All Other Petty Thefts ,KROEBER WALK,RP reporting that a bicycle was stolen sometime this weekend.
21-0519,7/26/2021,All Other Petty Thefts ,GAYLEY WALK,RP reporting theft.
21-0532,7/28/2021,All Other Petty Thefts ,WEST CAMPUS POINT LANE,RP reporting their bike stolen
21-0539,7/18/2021,All Other Petty Thefts ,BIOENGINEERING B512,RP reporting the theft of a bicycle.
21-0550,8/2/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting bike parts were stolen off his bike
21-0558,8/5/2021,All Other,SAN NICOLAS RESIDENCE HALL B561,RP reporting that her registered bicycle was stolen yesterday.
21-0562,8/6/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting that his bicycle was stolen today.
21-0563,8/7/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting that her bicycle was stolen 2 days ago.
21-0568,8/10/2021,GRAND THEFT,KROEBER WALK,RP reporting their bike stolen
21-0569,8/10/2021,All Other Petty Thefts ,ENGINEERING 2 B503,RP reporting their bike stolen
21-0570,8/10/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen
21-0573,8/11/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting that his bike was stolen.
21-0575,8/12/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting that his bicycle seat was stolen.
21-0581,8/15/2021,All Other Petty Thefts ,GAYLEY WALK,RP reporting their bike stolen
21-0587,8/16/2021,All Other,SAN NICOLAS RESIDENCE HALL B561 BIKE RACKS,
21-0588,8/17/2021,All Other Petty Thefts ,CYPRESS WALK,RP reporting their bike stolen
21-0592,8/18/2021,All Other Petty Thefts ,JUNIPER WALK,RP reporting their bike stolen
21-0597,8/20/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561 BIKE RACKS,
21-0612,8/26/2021,All Other Petty Thefts ,BUS LOOP BIKE RACKS,
21-0615,8/27/2021,GRAND THEFT,CYPRESS WALK BIKE RACKS,
21-0634,9/1/2021,All Other Petty Thefts ,SANTA ROSA RESIDENCE HALL B527,"
"
21-0639,9/4/2021,All Other Petty Thefts ,DE LA GUERRA DINING COMMONS (DLG) B549 ISLAND CLUSTERS,RP advised that her bicycle was stolen overnight.
21-0648,9/8/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen
21-0657,9/9/2021,All Other Petty Thefts ,SOUTH HALL B528,RP reporting that his bicycle was stolen today.
21-0663,9/11/2021,GRAND THEFT,ELKUS WALK,RP advised that his 2 bicycles were just stolen.
21-0666,9/11/2021,All Other Petty Thefts ,BUS LOOP,RP reporting the theft of his unregistered bike sometime today.
21-0678,9/15/2021,All Other Petty Thefts ,CAMPUS POOL,RP advised that his bicycle was stolen this afternoon.
21-0679,9/16/2021,All Other Petty Thefts ,SANTA CRUZ RESIDENCE HALL B548,RP reporting the theft of his bike.
21-0680,9/16/2021,All Other Petty Thefts ,LAUREL WALK,RP reporting the theft of his bike from the bike racks.
21-0681,9/16/2021,All Other Petty Thefts ,SAN JOAQUIN,RP reporting the theft of his bike.
21-0684,9/17/2021,All Other Petty Thefts ,TENAYA SOUTH TOWER B1862 SAN JOAQUIN,RP reporting the theft of his registered bike.
21-0685,9/17/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting his bike stolen
21-0692,9/18/2021,All Other Petty Thefts ,HAVASU VILLAGE B1125 SMV,RP reporting the theft of his unregistered bike.
21-0693,9/18/2021,All Other Petty Thefts ,SANTA CATALINA B860,RP reporting the theft of her bike.
21-0694,9/18/2021,All Other Petty Thefts ,TOLUCA VILLAGE B1123 SMV,RP the theft of his registered bike.
21-0698,9/19/2021,All Other Petty Thefts ,BUS LOOP,RP reporting their bike stolen
21-0699,9/19/2021,All Other Petty Thefts ,SAN CLEMENTE,RP reporting the rear wheel of their bike stolen
21-0700,9/19/2021,All Other Petty Thefts ,SAN JOAQUIN,"
"
21-0701,9/19/2021,All Other Petty Thefts ,SANTA ROSA RESIDENCE HALL B527,RP reporting the theft of his unregistered bike.
21-0702,9/19/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting that his bike was stolen.
21-0703,9/19/2021,FELONY: ALL OTHER: GRAND THEFT:MONEY/LABOR/PROP,SANTA CATALINA B860,RP reporting that his bicycle was stolen.
21-0706,9/20/2021,All Other Petty Thefts ,SIERRA MADRE APTS - STAFF B1127,
21-0707,9/20/2021,FELONY: ALL OTHER: GRAND THEFT:MONEY/LABOR/PROP,SANTA ROSA RESIDENCE HALL B527,RP reporting their bike stolen
21-0709,9/20/2021,All Other Petty Thefts ,TROPICANA DEL NORTE,RP reporting their bike stolen
21-0710,9/20/2021,All Other Petty Thefts ,SAN JOAQUIN,RP reporting their bike stolen
21-0714,9/20/2021,All Other Petty Thefts ,BROIDA HALL B572,RP reporting their bike stolen
21-0715,9/20/2021,All Other Petty Thefts ,EMBARCADERO DEL NORTE (UCSB),RP reporting their bike stolen
21-0716,9/20/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen
21-0717,9/20/2021,All Other Petty Thefts ,SAN JOAQUIN,RP reporting their bike stolen
21-0722,9/21/2021,All Other Petty Thefts ,ARTS B534,RP reporting the theft of her registered bike.
21-0723,9/21/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting the theft of his bike.
21-0724,9/21/2021,All Other Petty Thefts ,SAN RAFAEL CLUSTER B587,RP reporting the theft of his unregistered bike. Awaiting callback from victim
21-0725,9/21/2021,All Other Petty Thefts ,GAVIOTA HOUSE B882 MANZANITA,RP reporting their bike stolen.
21-0728,9/21/2021,All Other Petty Thefts ,CARRILLO DINING COMMONS B562 MANZANITA,RP reporting their bike stolen.  RP will call back when he gets more info on his bike from his parents.
21-0731,9/22/2021,All Other Petty Thefts ,SANTA CRUZ RESIDENCE HALL B548,RP reporting their bike stolen
21-0732,9/22/2021,All Other Petty Thefts ,TROPICANA GARDENS,RP reporting their bike stolen
21-0734,9/22/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen.
21-0739,9/23/2021,All Other Petty Thefts ,SANTA CRUZ RESIDENCE HALL B548,RP reporting that his bicycle was stolen.
21-0741,9/23/2021,All Other Petty Thefts ,CONDOR HOUSE B883 MANZANITA,RP reporting that his bicycle has been stolen.
21-0742,9/24/2021,All Other Petty Thefts ,CONDOR HOUSE B883 MANZANITA,RP reporting the theft of his bike.
21-0744,9/24/2021,All Other Petty Thefts ,SAN RAFAEL TOWER B586,RP reporting the theft of her bike.
21-0745,9/24/2021,All Other Petty Thefts ,RAMONA COURT (SAN JOAQUIN),RP reporting that her bicycle was stolen.
21-0748,9/25/2021,All Other Petty Thefts ,GAVIOTA HOUSE B882 MANZANITA,RP reporting the theft of her bike.
21-0751,9/26/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting the theft of her registered bike.
21-0752,9/26/2021,All Other Petty Thefts ,SANTA CATALINA B860,RP reporting the theft of his unregistered bike.
21-0754,9/27/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting their bike stolen
21-0755,9/27/2021,All Other Petty Thefts ,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting their bike stolen
21-0756,9/27/2021,All Other Petty Thefts ,RAMONA COURT WEST B1879 SAN JOAQUIN,RP reporting the theft of his bike.
21-0757,9/27/2021,All Other Petty Thefts ,JUNIPER WALK,RP reporting the theft of his bike.
21-0758,9/27/2021,All Other Petty Thefts ,NACIMIENTO VILLAGE B1124 SMV,RP reporting the theft of his unregistered bike.
21-0759,9/27/2021,All Other Petty Thefts ,MALIBU COURT SOUTH B1877 SAN JOAQUIN,RP reporting the theft of his unregistered bike.
21-0760,9/27/2021,All Other Petty Thefts ,MADULCE HOUSE B892 MANZANITA,RP reporting the theft of her unregistered bike.
21-0766,9/29/2021,All Other Petty Thefts ,SAN MIGUEL RESIDENCE HALL B553,RP reporting that her bicycle was stolen last night.
21-0768,9/29/2021,All Other Petty Thefts ,CALAVARAS COURT NORTHEAST B1872 SAN JOAQUIN,RP reporting their bike stolen
21-0769,9/29/2021,All Other Petty Thefts ,SANTA YNEZ APARTMENTS,"Rp reporting his unregistered bicycle was stolen from SY Apartments between 09/28 1300 and 09/29/ 1040 hours
"
21-0770,9/29/2021,All Other Petty Thefts ,SANTA YNEZ APARTMENTS,RP reporting that her bike was stolen within the last hour.
21-0774,9/30/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting the theft of his registered bike.
21-0779,9/30/2021,All Other Petty Thefts ,GAYLEY WALK,RP reporting the theft of a bike trailer.
21-0780,9/30/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting the theft of his unregistered bike.
21-0781,9/30/2021,All Other Petty Thefts ,SANTA CATALINA B860,RP reporting the theft of her bike sometime since last weekend.
21-0783,9/30/2021,All Other Petty Thefts ,PARKING LOT 02,RP reporting that a bike was stolen from the back of her truck 20 mins ago.
21-0787,10/1/2021,All Other Petty Thefts ,SANTA CRUZ RESIDENCE HALL B548,RP reporting their bike stolen
21-0789,10/1/2021,All Other Petty Thefts ,MUSIC B531,RP reporting that their bicycle was stolen.
21-0791,10/1/2021,FELONY: ALL OTHER: GRAND THEFT:MONEY/LABOR/PROP,SAN RAFAEL CLUSTER B587,RP reporting that his bike was stolen.
21-0792,10/2/2021,All Other Petty Thefts ,SANTA YNEZ APARTMENTS,RP reporting the theft of their bicycle.
21-0797,10/4/2021,All Other Petty Thefts ,SANTA CRUZ RESIDENCE HALL B548,RP reporting the theft of his unregistered bike.
21-0798,10/4/2021,All Other Petty Thefts ,SANTA YNEZ APARTMENTS,RP reporting the theft of his bike.
21-0808,10/5/2021,All Other Petty Thefts ,ANACAPA RESIDENCE HALL B547,RP reporting the theft of his bike.
21-0809,10/5/2021,All Other Petty Thefts ,CHEMISTRY B557,RP reporting the theft of his bike.
21-0811,10/5/2021,All Other Petty Thefts ,BREN HALL B521,RP reporting the theft of unregistered bike.
21-0812,10/5/2021,All Other Petty Thefts ,HAVASU VILLAGE B1125 SMV,RP reporting the theft of her unregistered bike.
21-0817,10/6/2021,FELONY: ALL OTHER: GRAND THEFT:MONEY/LABOR/PROP,SANTA CATALINA B860,RP reporting that his bicycle was stolen.
21-0818,10/6/2021,All Other Petty Thefts ,SAN NICOLAS RESIDENCE HALL B561,RP reporting that their bike was stolen.
21-0842,10/11/2021,All Other Petty Thefts ,OAK WALK,RP reporting the theft of a bicycle chain and tire.
21-0843,10/11/2021,All Other Petty Thefts ,SAN CLEMENTE STRUCTURE 50 B839,RP reporting that her bicycle was stolen.
21-0844,10/11/2021,All Other Petty Thefts ,PORTOLA DINING COMMONS B1861  SAN CAT,RP reporting that their bike was stolen.
21-0853,10/12/2021,All Other Petty Thefts ,STORKE TOWER B589,RP reporting their bike stolen
21-0857,10/12/2021,All Other Petty Thefts ,TROPICANA GARDENS,RP reporting their bike stolen
21-0860,10/13/2021,All Other Petty Thefts ,SANTA CATALINA B860,RP reporting the theft of parts from his bike
21-0862,10/13/2021,All Other Petty Thefts ,PARKING LOT 38,RP reporting their bike stolen
21-0867,10/14/2021,All Other Petty Thefts ,SANTA CRUZ RESIDENCE HALL B548,RP reporting the theft of his unregistered bike.
21-0869,10/14/2021,All Other Petty Thefts ,TENAYA MARKET,RP reporting the theft of his unregistered bike.
21-0875,10/14/2021,All Other Petty Thefts ,SANTA ROSA RESIDENCE HALL B527,RP reporting the theft of her registered bike.
